anl_id,anl_machine,anl_file_md5,anl_file_name,name,anl_score,anl_duration,anl_network_udp,anl_network_tcp,anl_network_dns,anl_signatures_sv1,anl_signatures_sv2,anl_signatures_sv3,anl_signatures_sv4,anl_signatures_sv5,anl_signatures_sv6,anl_file_created,anl_regkey_written,anl_dll_loaded,anl_file_failed,anl_regkey_opened,anl_resolves_host,anl_file_written,anl_fetches_url,anl_regkey_read
97,cuckoo-w7-01,00414d4856df45b8b796bec4c0a2d60d,virus_win32_nabucur_a-82-win32_exe-undefined-00414d4856df45b8b796bec4c0a2d60d.exe,virlock,11.6,137,22,23,10,1,10,5,2,0,1,7,5,12,3,30,1,5,2,68
251,cuckoo-w7-maldome-opened,00414d4856df45b8b796bec4c0a2d60d,virus_win32_nabucur_a-82-win32_exe-undefined-00414d4856df45b8b796bec4c0a2d60d.exe,virlock,12,134,15,3,3,1,11,5,2,0,1,7,5,13,3,28,1,5,2,68
26,cuckoo-w7-vmcloak,00414d4856df45b8b796bec4c0a2d60d,virus_win32_nabucur_a-82-win32_exe-undefined-00414d4856df45b8b796bec4c0a2d60d.exe,virlock,11.8,135,19,11,8,3,13,5,1,1,1,98,5,40,32,40,1,97,2,315
180,cuckoo-w7-opened,00414d4856df45b8b796bec4c0a2d60d,virus_win32_nabucur_a-82-win32_exe-undefined-00414d4856df45b8b796bec4c0a2d60d.exe,virlock,11.4,151,22,0,3,2,9,5,2,0,1,7,5,15,3,32,1,5,2,69
128,cuckoo-w7-01,008d3be2c8df74e684e6e1f164e63dce,worm_win32_mofksys-77-win32_exe-win.exe-008d3be2c8df74e684e6e1f164e63dce.exe,mofksys,15.2,138,23,10,9,6,10,13,0,1,1,10,9,25,4,38,0,4,0,40
282,cuckoo-w7-maldome-opened,008d3be2c8df74e684e6e1f164e63dce,worm_win32_mofksys-77-win32_exe-win.exe-008d3be2c8df74e684e6e1f164e63dce.exe,mofksys,14.2,136,14,1,2,6,9,12,0,1,1,10,9,25,4,38,0,4,0,40
88,cuckoo-w7-vmcloak,008d3be2c8df74e684e6e1f164e63dce,worm_win32_mofksys-77-win32_exe-win.exe-008d3be2c8df74e684e6e1f164e63dce.exe,mofksys,14.6,145,19,6,8,6,10,12,0,1,1,10,9,25,4,38,0,4,0,38
242,cuckoo-w7-opened,008d3be2c8df74e684e6e1f164e63dce,worm_win32_mofksys-77-win32_exe-win.exe-008d3be2c8df74e684e6e1f164e63dce.exe,mofksys,14.2,143,14,0,2,6,9,12,0,1,1,10,9,26,4,38,0,4,0,40
85,cuckoo-w7-01,00964150dfddb0ea3777712e814cca16,pws_win32_fareit_rfn-83-win32_exe-undefined-00964150dfddb0ea3777712e814cca16.exe,crcf,14.4,137,30,10,9,4,8,11,0,1,1,8,6,34,1,50,0,4,1,52
239,cuckoo-w7-maldome-opened,00964150dfddb0ea3777712e814cca16,pws_win32_fareit_rfn-83-win32_exe-undefined-00964150dfddb0ea3777712e814cca16.exe,crcf,12.8,153,14,1,2,4,8,11,0,1,1,27,6,36,1,51,0,4,1,52
